DATETIME,ADDRESS,BALANCE,DECIMALS,NAME
2022-01-11 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2989580.48522751,18,Staked Aave
2022-01-10 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2969988.18998628,18,Staked Aave
2022-01-09 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2970995.13372711,18,Staked Aave
2022-01-08 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2978273.08502968,18,Staked Aave
2022-01-07 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2980358.37074884,18,Staked Aave
2022-01-06 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2981583.63324084,18,Staked Aave
2022-01-05 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2983230.04480621,18,Staked Aave
2022-01-04 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2963502.76913352,18,Staked Aave
2022-01-03 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2929152.86043413,18,Staked Aave
2022-01-02 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2930259.4888824,18,Staked Aave
2022-01-01 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2929531.16792384,18,Staked Aave
2021-12-31 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2928767.34626401,18,Staked Aave
2021-12-30 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2928124.55624315,18,Staked Aave
2021-12-29 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2923173.67627604,18,Staked Aave
2021-12-28 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2924592.90413205,18,Staked Aave
2021-12-27 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2951856.88192838,18,Staked Aave
2021-12-26 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2950715.52278396,18,Staked Aave
2021-12-25 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2951814.15642422,18,Staked Aave
2021-12-24 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2950659.39666822,18,Staked Aave
2021-12-23 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2949340.01706117,18,Staked Aave
2021-12-22 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2947825.73521603,18,Staked Aave
2021-12-21 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2951814.92382672,18,Staked Aave
2021-12-20 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2949961.9410429,18,Staked Aave
2021-12-19 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2948843.90602894,18,Staked Aave
2021-12-18 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2945048.68131316,18,Staked Aave
2021-12-17 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2960175.93403155,18,Staked Aave
2021-12-16 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2963240.23223012,18,Staked Aave
2021-12-15 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2963622.31875152,18,Staked Aave
2021-12-14 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2964132.24276536,18,Staked Aave
2021-12-13 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2965866.29719415,18,Staked Aave
2021-12-12 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2890352.81561363,18,Staked Aave
2021-12-11 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2966715.15411502,18,Staked Aave
2021-12-10 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2967515.10164055,18,Staked Aave
2021-12-09 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2969693.09646323,18,Staked Aave
2021-12-08 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2976065.32481118,18,Staked Aave
2021-12-07 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2980811.29470666,18,Staked Aave
2021-12-06 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2981457.6709596,18,Staked Aave
2021-12-05 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2969410.57857442,18,Staked Aave
2021-12-04 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,3071211.29784003,18,Staked Aave
